,COMPETITION,SEASON,game,minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1,SCA 2,SCA 2
66,ESP-La Liga,2223,2022-08-13 Valladolid-Villarreal,37,Gerard Moreno,Villarreal,0.22,,Off Target,5,Right Foot,Volley,Daniel Parejo,Pass (Dead),Gerard Moreno,Shot
67,ESP-La Liga,2223,2022-08-13 Valladolid-Villarreal,40,Yeremi Pino,Villarreal,0.12,0.06,Saved,19,Right Foot,,Gerard Moreno,Pass (Live),Juan Foyth,Pass (Live)
68,ESP-La Liga,2223,2022-08-13 Valladolid-Villarreal,40,Étienne Capoue,Villarreal,0.08,,Off Target,25,Right Foot,,Daniel Parejo,Pass (Live),Gerard Moreno,Pass (Live)
69,ESP-La Liga,2223,2022-08-13 Valladolid-Villarreal,43,Roque Mesa,Valladolid,0.02,0.1,Saved,30,Right Foot,,Toni Villa,Pass (Live),Toni Villa,Take-On
70,ESP-La Liga,2223,2022-08-13 Valladolid-Villarreal,45+1,Étienne Capoue,Villarreal,0.36,,Off Target,4,Right Foot,,Francis Coquelin,Pass (Live),Daniel Parejo,Pass (Dead)
71,ESP-La Liga,2223,2022-08-13 Valladolid-Villarreal,45+3,Daniel Parejo,Villarreal,0.08,,Blocked,21,Right Foot,,Gerard Moreno,Pass (Live),Gerard Moreno,Take-On
72,ESP-La Liga,2223,2022-08-13 Valladolid-Villarreal,46,Yeremi Pino,Villarreal,0.12,,Off Target,14,Right Foot,,Nicolas Jackson,Pass (Live),Daniel Parejo,Pass (Live)
73,ESP-La Liga,2223,2022-08-13 Valladolid-Villarreal,49,Nicolas Jackson,Villarreal,0.31,0.86,Goal,3,Right Foot,,,,,
74,ESP-La Liga,2223,2022-08-13 Valladolid-Villarreal,57,Iván Sánchez,Valladolid,0.07,0.22,Saved,19,Left Foot,,Álvaro Aguado,Pass (Live),Toni Villa,Pass (Live)
75,ESP-La Liga,2223,2022-08-13 Valladolid-Villarreal,58,Iván Sánchez,Valladolid,0.19,0.04,Saved,15,Left Foot,Volley,Monchu,Pass (Live),Iván Sánchez,Shot
76,ESP-La Liga,2223,2022-08-13 Valladolid-Villarreal,66,Kike Pérez,Valladolid,0.02,0.14,Saved,30,Left Foot,,Álvaro Aguado,Pass (Live),Kike Pérez,Pass (Live)
77,ESP-La Liga,2223,2022-08-13 Valladolid-Villarreal,66,Sergio Escudero,Valladolid,0.12,0.09,Saved,9,Head,,Monchu,Pass (Dead),Kike Pérez,Shot
78,ESP-La Liga,2223,2022-08-13 Valladolid-Villarreal,68,Óscar Plano,Valladolid,0.03,,Blocked,27,Left Foot,,Kike Pérez,Pass (Live),Óscar Plano,Pass (Live)
79,ESP-La Liga,2223,2022-08-13 Valladolid-Villarreal,70,Sékou Gassama,Valladolid,0.37,,Off Target,7,Head,,Iván Sánchez,Pass (Live),Álvaro Aguado,Pass (Live)
80,ESP-La Liga,2223,2022-08-13 Valladolid-Villarreal,72,Kike Pérez,Valladolid,0.03,,Off Target,30,Left Foot,,Sékou Gassama,Pass (Live),Kike Pérez,Pass (Live)
81,ESP-La Liga,2223,2022-08-13 Valladolid-Villarreal,77,Sékou Gassama,Valladolid,0.04,,Off Target,14,Head,,Sergio Escudero,Pass (Live),Monchu,Pass (Live)
82,ESP-La Liga,2223,2022-08-13 Valladolid-Villarreal,81,Alex Baena,Villarreal,0.06,0.49,Goal,20,Right Foot,,Samuel Chukwueze,Pass (Live),Alex Baena,Pass (Live)
83,ESP-La Liga,2223,2022-08-13 Valladolid-Villarreal,83,Kike Pérez,Valladolid,0.09,0.02,Saved,13,Left Foot,Deflected,Óscar Plano,Pass (Live),Jawad El Yamiq,Pass (Live)
84,ESP-La Liga,2223,2022-08-13 Valladolid-Villarreal,84,Jawad El Yamiq,Valladolid,0.01,,Off Target,12,Head,,Iván Sánchez,Pass (Live),Luis Pérez,Pass (Live)
85,ESP-La Liga,2223,2022-08-13 Valladolid-Villarreal,90,Alex Baena,Villarreal,0.06,0.49,Goal,22,Right Foot,,,,,
86,ESP-La Liga,2223,2022-08-13 Valladolid-Villarreal,90+2,Jawad El Yamiq,Valladolid,0.03,,Off Target,29,Right Foot,,Álvaro Aguado,Pass (Live),Iván Sánchez,Pass (Live)
87,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,4,Lucas Vázquez,Real Madrid,0.03,,Off Target,29,Right Foot,,Aurélien Tchouaméni,Pass (Live),Vinicius Júnior,Pass (Live)
88,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,6,Largie Ramazani,Almería,0.21,0.54,Goal,17,Right Foot,,Íñigo Eguaras,Pass (Live),Sergio Akieme,Pass (Live)
89,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,8,Federico Valverde,Real Madrid,0.1,0.12,Saved,12,Right Foot,,Eduardo Camavinga,Pass (Live),Karim Benzema,Pass (Live)
90,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,9,Federico Valverde,Real Madrid,0.03,0.02,Saved,19,Left Foot,,Ferland Mendy,Pass (Live),Ferland Mendy,Take-On
91,ESP-La Liga,2223,2022-08-14 Almería-Real Madrid,9,Karim Benzema,Real Madrid,0.2,,Off Target,9,Left Foot,,Vinicius Júnior,Pass (Live),Aurélien Tchouaméni,Pass (Live)
