,COMPETITION,SEASON,game,minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1,SCA 2,SCA 2
4016,ESP-La Liga,2223,2023-01-14 Valladolid-Rayo Vallecano,64,Shon Weissman,Valladolid,0.26,,Off Target,10,Right Foot,,Kike Pérez,Pass (Live),,
4017,ESP-La Liga,2223,2023-01-14 Valladolid-Rayo Vallecano,65,Isaac Palazón Camacho,Rayo Vallecano,0.08,0.35,Goal,18,Left Foot,,Álvaro García,Pass (Live),Óscar Trejo,Pass (Live)
4018,ESP-La Liga,2223,2023-01-14 Valladolid-Rayo Vallecano,69,Joaquín Fernández,Valladolid,0.02,,Off Target,12,Head,,Iván Fresneda,Pass (Live),Álvaro Aguado,Pass (Live)
4019,ESP-La Liga,2223,2023-01-14 Valladolid-Rayo Vallecano,72,Kike Pérez,Valladolid,0.03,,Blocked,26,Right Foot,,Lucas Oliveira Rosa,Pass (Live),Gonzalo Plata,Pass (Live)
4020,ESP-La Liga,2223,2023-01-14 Valladolid-Rayo Vallecano,87,Florian Lejeune,Rayo Vallecano,0.03,,Off Target,36,Right Foot,Free kick,Isaac Palazón Camacho,Fouled,Óscar Valentín,Pass (Live)
4021,ESP-La Liga,2223,2023-01-14 Valladolid-Rayo Vallecano,90,Óscar Plano,Valladolid,0.03,0.03,Saved,17,Right Foot,Deflected,Lucas Oliveira Rosa,Pass (Dead),Mickael Malsa,Pass (Live)
4022,ESP-La Liga,2223,2023-01-15 Almería-Atlético Madrid,4,Ángel Correa,Atlético Madrid,0.18,,Blocked,11,Right Foot,,Nahuel Molina,Pass (Live),Marcos Llorente,Pass (Live)
4023,ESP-La Liga,2223,2023-01-15 Almería-Atlético Madrid,18,Ángel Correa,Atlético Madrid,0.4,0.33,Goal,11,Left Foot,,Geoffrey Kondogbia,Pass (Live),Axel Witsel,Pass (Live)
4024,ESP-La Liga,2223,2023-01-15 Almería-Atlético Madrid,20,Sergio Akieme,Almería,0.11,,Off Target,11,Left Foot,Volley,Lucas Robertone,Pass (Live),,
4025,ESP-La Liga,2223,2023-01-15 Almería-Atlético Madrid,28,Rodrigo Ely,Almería,0.02,,Off Target,10,Head,,Adri Embarba,Pass (Dead),,
4026,ESP-La Liga,2223,2023-01-15 Almería-Atlético Madrid,31,Ángel Correa,Atlético Madrid,0.34,,Blocked,9,Right Foot,,Thomas Lemar,Pass (Live),Marcos Llorente,Pass (Live)
4027,ESP-La Liga,2223,2023-01-15 Almería-Atlético Madrid,32,Mario Hermoso,Atlético Madrid,0.17,0.3,Saved,10,Right Foot,Volley,Antoine Griezmann,Pass (Dead),,
4028,ESP-La Liga,2223,2023-01-15 Almería-Atlético Madrid,32,Marcos Llorente,Atlético Madrid,0.05,,Blocked,16,Right Foot,,Koke,Pass (Live),Mario Hermoso,Shot
4029,ESP-La Liga,2223,2023-01-15 Almería-Atlético Madrid,33,Léo Baptistão,Almería,0.06,,Off Target,13,Head,,Lucas Robertone,Pass (Live),Gonzalo Melero,Pass (Live)
4030,ESP-La Liga,2223,2023-01-15 Almería-Atlético Madrid,37,Lucas Robertone,Almería,0.02,,Blocked,26,Right Foot,,Léo Baptistão,Pass (Live),Samu Costa,Pass (Live)
4031,ESP-La Liga,2223,2023-01-15 Almería-Atlético Madrid,37,El Bilal Touré,Almería,0.28,0.52,Goal,8,Head,,Lucas Robertone,Pass (Live),Alejandro Pozo Pozo,Pass (Live)
4032,ESP-La Liga,2223,2023-01-15 Almería-Atlético Madrid,42,Gonzalo Melero,Almería,0.06,0.11,Saved,26,Right Foot,,El Bilal Touré,Pass (Live),,
4033,ESP-La Liga,2223,2023-01-15 Almería-Atlético Madrid,49,Sergio Akieme,Almería,0.03,,Off Target,29,Left Foot,,Samu Costa,Pass (Live),Sergio Akieme,Pass (Live)
4034,ESP-La Liga,2223,2023-01-15 Almería-Atlético Madrid,50,Pablo Barrios,Atlético Madrid,0.05,,Off Target,17,Right Foot,,Pablo Barrios,Pass (Live),,
4035,ESP-La Liga,2223,2023-01-15 Almería-Atlético Madrid,54,Adri Embarba,Almería,0.08,,Blocked,14,Left Foot,,Gonzalo Melero,Pass (Live),Gonzalo Melero,Take-On
4036,ESP-La Liga,2223,2023-01-15 Almería-Atlético Madrid,55,Antoine Griezmann,Atlético Madrid,0.08,0.04,Saved,23,Left Foot,,Marcos Llorente,Pass (Live),Nahuel Molina,Pass (Live)
4037,ESP-La Liga,2223,2023-01-15 Almería-Atlético Madrid,55,Adri Embarba,Almería,0.04,0.08,Saved,22,Right Foot,,Lucas Robertone,Pass (Live),Gonzalo Melero,Pass (Live)
4038,ESP-La Liga,2223,2023-01-15 Almería-Atlético Madrid,60,El Bilal Touré,Almería,0.07,,Off Target,17,Head,,Rodrigo Ely,Pass (Live),Adri Embarba,Pass (Live)
4039,ESP-La Liga,2223,2023-01-15 Almería-Atlético Madrid,64,Antoine Griezmann,Atlético Madrid,0.03,0.15,Saved,14,Left Foot,,Ángel Correa,Pass (Live),Ángel Correa,Take-On
4040,ESP-La Liga,2223,2023-01-15 Almería-Atlético Madrid,70,Luis Javier Suárez,Almería,0.06,,Off Target,17,Right Foot,,Luis Javier Suárez,Take-On,Lucas Robertone,Pass (Live)
4041,ESP-La Liga,2223,2023-01-15 Almería-Atlético Madrid,72,Álvaro Morata,Atlético Madrid,0.17,,Off Target,7,Head,,Marcos Llorente,Pass (Live),Ángel Correa,Pass (Live)
4042,ESP-La Liga,2223,2023-01-15 Almería-Atlético Madrid,73,Álvaro Morata,Atlético Madrid,0.44,0.27,Saved,15,Left Foot,,Marcos Llorente,Pass (Live),Sergio Reguilón,Pass (Live)
4043,ESP-La Liga,2223,2023-01-15 Almería-Atlético Madrid,75,Ángel Correa,Atlético Madrid,0.54,0.6,Saved,11,Right Foot,,Antoine Griezmann,Pass (Live),Marcos Llorente,Pass (Live)
4044,ESP-La Liga,2223,2023-01-15 Almería-Atlético Madrid,76,Gonzalo Melero,Almería,0.47,,Off Target,6,Head,,Lucas Robertone,Pass (Live),Largie Ramazani,Pass (Live)
4045,ESP-La Liga,2223,2023-01-15 Almería-Atlético Madrid,76,Adri Embarba,Almería,0.05,,Off Target,11,Left Foot,Volley,Gonzalo Melero,Shot,,
4046,ESP-La Liga,2223,2023-01-15 Almería-Atlético Madrid,81,Lucas Robertone,Almería,0.13,,Off Target,18,Right Foot,,Alejandro Pozo Pozo,Pass (Live),Íñigo Eguaras,Pass (Live)
4047,ESP-La Liga,2223,2023-01-15 Almería-Atlético Madrid,90+4,Pablo Barrios,Atlético Madrid,0.02,,Off Target,29,Right Foot,,Saúl Ñíguez,Pass (Live),Antoine Griezmann,Pass (Live)
4048,ESP-La Liga,2223,2023-01-15 Getafe-Espanyol,6,Joselu,Espanyol,0.03,0.02,Goal,53,Right Foot,,,,,
4049,ESP-La Liga,2223,2023-01-15 Getafe-Espanyol,7,Enes Ünal,Getafe,0.02,0.59,Goal,24,Right Foot,,,,,
4050,ESP-La Liga,2223,2023-01-15 Getafe-Espanyol,10,Javi Puado,Espanyol,0.22,,Off Target,15,Right Foot,Volley,Aleix Vidal,Pass (Live),Martin Braithwaite,Pass (Live)
4051,ESP-La Liga,2223,2023-01-15 Getafe-Espanyol,13,Portu,Getafe,0.04,,Off Target,23,Right Foot,,Borja Mayoral,Pass (Live),Enes Ünal,Pass (Live)
4052,ESP-La Liga,2223,2023-01-15 Getafe-Espanyol,17,Joselu,Espanyol,0.06,,Blocked,27,Right Foot,Free kick,Martin Braithwaite,Fouled,Fernando Calero,Pass (Live)
4053,ESP-La Liga,2223,2023-01-15 Getafe-Espanyol,17,Joselu,Espanyol,0.02,0.01,Saved,26,Right Foot,Volley,Joselu,Shot,,
4054,ESP-La Liga,2223,2023-01-15 Getafe-Espanyol,24,Martin Braithwaite,Espanyol,0.02,,Off Target,30,Right Foot,,Leandro Cabrera,Pass (Live),,
4055,ESP-La Liga,2223,2023-01-15 Getafe-Espanyol,25,Borja Mayoral,Getafe,0.05,,Off Target,17,Right Foot,,Portu,Pass (Live),Luis Milla,Pass (Dead)
4056,ESP-La Liga,2223,2023-01-15 Getafe-Espanyol,34,Omar Alderete,Getafe,0.06,,Blocked,11,Head,,Luis Milla,Pass (Dead),Damián Suárez,Fouled
4057,ESP-La Liga,2223,2023-01-15 Getafe-Espanyol,38,Fernando Calero,Espanyol,0.03,,Blocked,14,Head,,Sergi Darder,Pass (Dead),,
4058,ESP-La Liga,2223,2023-01-15 Getafe-Espanyol,45,Javi Puado,Espanyol,0.06,,Off Target,13,Right Foot,Volley,Sergi Darder,Pass (Dead),Joselu,Fouled
4059,ESP-La Liga,2223,2023-01-15 Getafe-Espanyol,52,Munir El Haddadi,Getafe,0.05,,Off Target,26,Left Foot,Free kick,Enes Ünal,Fouled,Iglesias,Pass (Live)
4060,ESP-La Liga,2223,2023-01-15 Getafe-Espanyol,56,Portu,Getafe,0.02,,Blocked,23,Right Foot,,Borja Mayoral,Pass (Live),Munir El Haddadi,Pass (Live)
4061,ESP-La Liga,2223,2023-01-15 Getafe-Espanyol,58,Sergi Darder,Espanyol,0.04,0.04,Saved,29,Right Foot,,Aleix Vidal,Pass (Live),Leandro Cabrera,Pass (Dead)
4062,ESP-La Liga,2223,2023-01-15 Getafe-Espanyol,62,Javi Puado,Espanyol,0.24,0.1,Goal,8,Left Foot,,Javi Puado,Take-On,Joselu,Pass (Live)
4063,ESP-La Liga,2223,2023-01-15 Getafe-Espanyol,68,Enes Ünal,Getafe,0.02,0.07,Saved,34,Right Foot,,Portu,Pass (Live),Gastón Álvarez,Pass (Live)
4064,ESP-La Liga,2223,2023-01-15 Getafe-Espanyol,77,Juanmi Latasa,Getafe,0.03,,Blocked,17,Head,,Iglesias,Pass (Live),Enes Ünal,Pass (Live)
4065,ESP-La Liga,2223,2023-01-15 Getafe-Espanyol,81,Martin Braithwaite,Espanyol,0.05,,Blocked,17,Left Foot,Volley,Joselu,Pass (Live),César Montes,Pass (Dead)
4066,ESP-La Liga,2223,2023-01-15 Getafe-Espanyol,82,Juanmi Latasa,Getafe,0.05,,Blocked,13,Left Foot,,Gonzalo Villar,Pass (Live),Portu,Pass (Live)
4067,ESP-La Liga,2223,2023-01-15 Getafe-Espanyol,85,Domingos Duarte,Getafe,0.11,,Off Target,8,Head,,Portu,Pass (Live),Djené,Pass (Live)
4068,ESP-La Liga,2223,2023-01-16 Cádiz-Elche,7,Brian Ocampo,Cádiz,0.04,0.57,Goal,23,Right Foot,,Fali,Pass (Live),Luis Hernández,Pass (Live)
4069,ESP-La Liga,2223,2023-01-16 Cádiz-Elche,10,Roger Martí,Elche,0.03,,Off Target,28,Right Foot,,,,,
4070,ESP-La Liga,2223,2023-01-16 Cádiz-Elche,15,Anthony Lozano,Cádiz,0.03,,Blocked,23,Left Foot,Volley,Álex Fernández,Pass (Live),Fede San Emeterio,Pass (Live)
4071,ESP-La Liga,2223,2023-01-16 Cádiz-Elche,21,Anthony Lozano,Cádiz,0.13,,Off Target,15,Right Foot,,Álex Fernández,Pass (Live),Álex Fernández,Take-On
4072,ESP-La Liga,2223,2023-01-16 Cádiz-Elche,27,Anthony Lozano,Cádiz,0.03,,Off Target,18,Right Foot,,Brian Ocampo,Pass (Live),Brian Ocampo,Take-On
4073,ESP-La Liga,2223,2023-01-16 Cádiz-Elche,29,Isaac Carcelen,Cádiz,0.01,,Woodwork,27,Right Foot,Volley,,,,
4074,ESP-La Liga,2223,2023-01-16 Cádiz-Elche,32,Gerard Gumbau,Elche,0.02,0.08,Saved,31,Left Foot,,Omar Mascarell,Pass (Live),,
4075,ESP-La Liga,2223,2023-01-16 Cádiz-Elche,32,Pere Milla,Elche,0.11,,Woodwork,11,Right Foot,,Pere Milla,Tackle,Lucas Boyé,Pass (Live)
4076,ESP-La Liga,2223,2023-01-16 Cádiz-Elche,32,Lucas Boyé,Elche,0.07,0.15,Saved,11,Right Foot,,Pere Milla,Shot,,
4077,ESP-La Liga,2223,2023-01-16 Cádiz-Elche,32,Lucas Boyé,Elche,0.07,,Off Target,10,Right Foot,,Lucas Boyé,Shot,,
4078,ESP-La Liga,2223,2023-01-16 Cádiz-Elche,40,Lucas Boyé,Elche,0.03,,Blocked,24,Right Foot,,Gerard Gumbau,Pass (Live),,
4079,ESP-La Liga,2223,2023-01-16 Cádiz-Elche,44,Rubén Alcaraz,Cádiz,0.03,,Blocked,34,Right Foot,Free kick,Rubén Sobrino,Fouled,Jeremías Ledesma,Pass (Dead)
4080,ESP-La Liga,2223,2023-01-16 Cádiz-Elche,44,Álex Fernández,Cádiz,0.14,0.03,Saved,13,Right Foot,,Rubén Alcaraz,Shot,,
4081,ESP-La Liga,2223,2023-01-16 Cádiz-Elche,45+4,Alfonso Espino,Cádiz,0.02,,Blocked,23,Left Foot,Volley,Brian Ocampo,Pass (Dead),Luis Hernández,Pass (Dead)
4082,ESP-La Liga,2223,2023-01-16 Cádiz-Elche,50,Lucas Boyé,Elche,0.02,,Off Target,31,Right Foot,,Lucas Boyé,Take-On,Lautaro Blanco,Tackle
4083,ESP-La Liga,2223,2023-01-16 Cádiz-Elche,61,Lucas Boyé,Elche,0.05,,Off Target,26,Right Foot,Free kick,Fidel,Fouled,Lucas Boyé,Pass (Live)
4084,ESP-La Liga,2223,2023-01-16 Cádiz-Elche,63,Iván Alejo,Cádiz,0.05,0.02,Saved,14,Head,,Alfonso Espino,Pass (Live),Álex Fernández,Pass (Live)
4085,ESP-La Liga,2223,2023-01-16 Cádiz-Elche,64,Gerard Gumbau,Elche,0.02,,Off Target,31,Left Foot,,Omar Mascarell,Pass (Live),Carmona,Pass (Live)
4086,ESP-La Liga,2223,2023-01-16 Cádiz-Elche,69,Enzo Roco,Elche,0.02,0.01,Saved,13,Head,,Gerard Gumbau,Pass (Dead),Carmona,Pass (Live)
4087,ESP-La Liga,2223,2023-01-16 Cádiz-Elche,69,Rubén Sobrino,Cádiz,0.01,,Off Target,29,Right Foot,,Anthony Lozano,Pass (Live),Alfonso Espino,Pass (Dead)
4088,ESP-La Liga,2223,2023-01-16 Cádiz-Elche,78,Iván Alejo,Cádiz,0.03,,Blocked,24,Right Foot,Volley,Anthony Lozano,Fouled,Jeremías Ledesma,Pass (Live)
4089,ESP-La Liga,2223,2023-01-16 Cádiz-Elche,80,Lucas Boyé,Elche,0.03,0.13,Saved,14,Head,,Omar Mascarell,Pass (Dead),Gerard Gumbau,Pass (Live)
4090,ESP-La Liga,2223,2023-01-16 Cádiz-Elche,81,Ezequiel Ponce,Elche,0.18,0.17,Goal,11,Head,,Lautaro Blanco,Pass (Live),Lucas Boyé,Pass (Live)
4091,ESP-La Liga,2223,2023-01-16 Cádiz-Elche,83,Iván Alejo,Cádiz,0.02,,Blocked,18,Right Foot,Volley,Alfonso Espino,Pass (Live),Alfonso Espino,Tackle
4092,ESP-La Liga,2223,2023-01-16 Cádiz-Elche,87,Iván Alejo,Cádiz,0.08,,Off Target,12,Left Foot,Volley,Luis Hernández,Pass (Dead),Youba Diarra,Pass (Live)
4093,ESP-La Liga,2223,2023-01-16 Cádiz-Elche,90+1,Álvaro Negredo,Cádiz,0.18,,Off Target,8,Left Foot,Volley,Iván Alejo,Pass (Live),Rubén Alcaraz,Pass (Live)
4094,ESP-La Liga,2223,2023-01-16 Cádiz-Elche,90+4,Álvaro Negredo,Cádiz,0.1,,Off Target,11,Right Foot,,Iván Alejo,Pass (Live),Isaac Carcelen,Pass (Live)
4095,ESP-La Liga,2223,2023-01-16 Cádiz-Elche,90+4,Rubén Sobrino,Cádiz,0.73,,Off Target,5,Left Foot,,Álvaro Negredo,Shot,,
4096,ESP-La Liga,2223,2023-01-20 Mallorca-Celta Vigo,15,Dani Rodríguez,Mallorca,0.05,0.05,Saved,15,Head,,Jaume Costa,Pass (Live),Vedat Muriqi,Pass (Live)
4097,ESP-La Liga,2223,2023-01-20 Mallorca-Celta Vigo,26,Gabriel Veiga,Celta Vigo,0.05,0.05,Saved,27,Right Foot,,Iago Aspas,Pass (Live),Gabriel Veiga,Pass (Live)
4098,ESP-La Liga,2223,2023-01-20 Mallorca-Celta Vigo,33,Iago Aspas,Celta Vigo,0.05,,Blocked,28,Left Foot,Free kick,Iago Aspas,Fouled,Jørgen Strand Larsen,Pass (Live)
4099,ESP-La Liga,2223,2023-01-20 Mallorca-Celta Vigo,38,Iago Aspas,Celta Vigo,0.06,,Off Target,25,Left Foot,,Franco Cervi,Pass (Live),,
4100,ESP-La Liga,2223,2023-01-20 Mallorca-Celta Vigo,41,Iddrisu Baba,Mallorca,0.02,,Off Target,32,Right Foot,,Jaume Costa,Pass (Live),Matija Nastasić,Pass (Live)
4101,ESP-La Liga,2223,2023-01-20 Mallorca-Celta Vigo,47,Pablo Maffeo,Mallorca,0.05,,Off Target,18,Right Foot,,Jaume Costa,Pass (Live),Dani Rodríguez,Pass (Live)
4102,ESP-La Liga,2223,2023-01-20 Mallorca-Celta Vigo,48,Jørgen Strand Larsen,Celta Vigo,0.09,,Off Target,22,Right Foot,,Gabriel Veiga,Pass (Live),Luca de la Torre,Pass (Live)
4103,ESP-La Liga,2223,2023-01-20 Mallorca-Celta Vigo,50,Gabriel Veiga,Celta Vigo,0.12,0.02,Saved,15,Left Foot,,Jørgen Strand Larsen,Pass (Live),Gabriel Veiga,Pass (Live)
4104,ESP-La Liga,2223,2023-01-20 Mallorca-Celta Vigo,51,Vedat Muriqi,Mallorca,0.07,,Off Target,13,Right Foot,,Vedat Muriqi,Take-On,Predrag Rajković,Pass (Live)
4105,ESP-La Liga,2223,2023-01-20 Mallorca-Celta Vigo,52,Tino Kadewere,Mallorca,0.05,,Blocked,19,Right Foot,,Clément Grenier,Pass (Live),,
4106,ESP-La Liga,2223,2023-01-20 Mallorca-Celta Vigo,57,Fran Beltrán,Celta Vigo,0.02,,Off Target,31,Right Foot,,Iago Aspas,Pass (Live),Gabriel Veiga,Pass (Live)
4107,ESP-La Liga,2223,2023-01-20 Mallorca-Celta Vigo,59,Dani Rodríguez,Mallorca,0.21,0.65,Goal,14,Right Foot,,Pablo Maffeo,Pass (Live),Iñigo Ruiz de Galarreta,Pass (Live)
4108,ESP-La Liga,2223,2023-01-20 Mallorca-Celta Vigo,64,Tino Kadewere,Mallorca,0.05,,Off Target,11,Head,,Jaume Costa,Pass (Live),Jaume Costa,Tackle
4109,ESP-La Liga,2223,2023-01-20 Mallorca-Celta Vigo,67,Gabriel Veiga,Celta Vigo,0.02,,Blocked,34,Right Foot,,Fran Beltrán,Pass (Live),Franco Cervi,Pass (Dead)
4110,ESP-La Liga,2223,2023-01-20 Mallorca-Celta Vigo,73,Franco Cervi,Celta Vigo,0.04,,Blocked,25,Left Foot,,Iago Aspas,Pass (Live),Gonçalo Paciência,Pass (Live)
4111,ESP-La Liga,2223,2023-01-20 Mallorca-Celta Vigo,75,Óscar Rodríguez Arnaiz,Celta Vigo,0.03,0.03,Saved,29,Right Foot,,Carles Pérez,Pass (Live),Carles Pérez,Take-On
4112,ESP-La Liga,2223,2023-01-20 Mallorca-Celta Vigo,75,Iago Aspas,Celta Vigo,0.06,,Blocked,13,Left Foot,,Óscar Rodríguez Arnaiz,Shot,,
4113,ESP-La Liga,2223,2023-01-20 Mallorca-Celta Vigo,90+4,Tino Kadewere,Mallorca,0.04,0.02,Saved,58,Right Foot,,,,,
4114,ESP-La Liga,2223,2023-01-21 Atlético Madrid-Valladolid,2,Sergio León,Valladolid,0.02,,Off Target,23,Right Foot,,,,,
4115,ESP-La Liga,2223,2023-01-21 Atlético Madrid-Valladolid,3,Álvaro Morata,Atlético Madrid,0.44,,Off Target,6,Right Foot,,Ángel Correa,Pass (Live),Nahuel Molina,Pass (Live)
4116,ESP-La Liga,2223,2023-01-21 Atlético Madrid-Valladolid,18,Álvaro Morata,Atlético Madrid,0.54,0.96,Goal,11,Right Foot,,Álvaro Morata,Take-On,Antoine Griezmann,Pass (Live)
4117,ESP-La Liga,2223,2023-01-21 Atlético Madrid-Valladolid,21,Ángel Correa,Atlético Madrid,0.13,,Blocked,15,Right Foot,,Antoine Griezmann,Pass (Live),Álvaro Morata,Pass (Live)
4118,ESP-La Liga,2223,2023-01-21 Atlético Madrid-Valladolid,21,Antoine Griezmann,Atlético Madrid,0.05,,Off Target,23,Left Foot,,Reinildo Mandava,Pass (Live),Antoine Griezmann,Pass (Live)
4119,ESP-La Liga,2223,2023-01-21 Atlético Madrid-Valladolid,24,Antoine Griezmann,Atlético Madrid,0.47,0.75,Goal,6,Right Foot,,Nahuel Molina,Pass (Live),Marcos Llorente,Pass (Live)
4120,ESP-La Liga,2223,2023-01-21 Atlético Madrid-Valladolid,28,Mario Hermoso,Atlético Madrid,0.18,0.04,Saved,9,Head,,Antoine Griezmann,Pass (Dead),Álvaro Morata,Fouled
4121,ESP-La Liga,2223,2023-01-21 Atlético Madrid-Valladolid,28,Mario Hermoso,Atlético Madrid,0.71,0.77,Goal,5,Left Foot,Volley,Mario Hermoso,Shot,,
4122,ESP-La Liga,2223,2023-01-21 Atlético Madrid-Valladolid,38,Kike Pérez,Valladolid,0.02,,Blocked,30,Left Foot,,Luis Pérez,Fouled,Kike Pérez,Pass (Live)
4123,ESP-La Liga,2223,2023-01-21 Atlético Madrid-Valladolid,45,Antoine Griezmann,Atlético Madrid,0.02,0.02,Saved,32,Left Foot,,Reinildo Mandava,Pass (Live),,
4124,ESP-La Liga,2223,2023-01-21 Atlético Madrid-Valladolid,45+2,Javi Sánchez,Valladolid,0.03,,Blocked,29,Right Foot,,Kike Pérez,Pass (Live),Álvaro Aguado,Pass (Live)
4125,ESP-La Liga,2223,2023-01-21 Atlético Madrid-Valladolid,50,Álvaro Aguado,Valladolid,0.03,,Off Target,27,Right Foot,Volley,Lucas Olaza,Pass (Live),David Torres,Pass (Live)
4126,ESP-La Liga,2223,2023-01-21 Atlético Madrid-Valladolid,57,Kike Pérez,Valladolid,0.05,,Off Target,12,Right Foot,,Luis Pérez,Pass (Live),Álvaro Aguado,Pass (Live)
4127,ESP-La Liga,2223,2023-01-21 Atlético Madrid-Valladolid,65,Álvaro Morata,Atlético Madrid,0.04,,Off Target,25,Right Foot,,Nahuel Molina,Pass (Dead),,
4128,ESP-La Liga,2223,2023-01-21 Atlético Madrid-Valladolid,66,Ángel Correa,Atlético Madrid,0.12,0.7,Saved,12,Right Foot,,Rodrigo De Paul,Pass (Live),Yannick Carrasco,Pass (Live)
4129,ESP-La Liga,2223,2023-01-21 Atlético Madrid-Valladolid,67,Koke,Atlético Madrid,0.06,,Woodwork,17,Right Foot,,Mario Hermoso,Pass (Live),Nahuel Molina,Pass (Live)
4130,ESP-La Liga,2223,2023-01-21 Atlético Madrid-Valladolid,71,Óscar Plano,Valladolid,0.02,0.08,Saved,29,Left Foot,,Óscar Plano,Interception,,
4131,ESP-La Liga,2223,2023-01-21 Atlético Madrid-Valladolid,76,Nahuel Molina,Atlético Madrid,0.04,,Off Target,18,Left Foot,,Ángel Correa,Pass (Dead),,
4132,ESP-La Liga,2223,2023-01-21 Atlético Madrid-Valladolid,81,Yannick Carrasco,Atlético Madrid,0.09,0.05,Saved,10,Right Foot,,,,,
4133,ESP-La Liga,2223,2023-01-21 Atlético Madrid-Valladolid,83,Yannick Carrasco,Atlético Madrid,0.04,,Blocked,17,Right Foot,,Memphis,Pass (Live),Ángel Correa,Pass (Live)
4134,ESP-La Liga,2223,2023-01-21 Atlético Madrid-Valladolid,83,Yannick Carrasco,Atlético Madrid,0.06,0.28,Saved,13,Left Foot,,Yannick Carrasco,Shot,,
4135,ESP-La Liga,2223,2023-01-21 Atlético Madrid-Valladolid,84,Mario Hermoso,Atlético Madrid,0.08,,Blocked,12,Right Foot,,Ángel Correa,Pass (Live),Rodrigo De Paul,Pass (Live)
4136,ESP-La Liga,2223,2023-01-21 Atlético Madrid-Valladolid,89,Memphis,Atlético Madrid,0.06,,Blocked,18,Right Foot,,Yannick Carrasco,Pass (Live),Memphis,Pass (Live)
4137,ESP-La Liga,2223,2023-01-21 Atlético Madrid-Valladolid,89,Yannick Carrasco,Atlético Madrid,0.4,,Off Target,10,Right Foot,,Rodrigo De Paul,Pass (Live),Memphis,Shot
4138,ESP-La Liga,2223,2023-01-21 Atlético Madrid-Valladolid,90+2,Shon Weissman,Valladolid,0.36,,Off Target,11,Right Foot,,Lucas Oliveira Rosa,Pass (Live),Roque Mesa,Pass (Live)
4139,ESP-La Liga,2223,2023-01-21 Espanyol-Betis,5,Leandro Cabrera,Espanyol,0.11,,Woodwork,8,Head,,Sergi Darder,Pass (Dead),Joselu,Fouled
4140,ESP-La Liga,2223,2023-01-21 Espanyol-Betis,12,Leandro Cabrera,Espanyol,0.03,,Off Target,11,Head,,Sergi Darder,Pass (Dead),Vinicius Souza,Pass (Live)
4141,ESP-La Liga,2223,2023-01-21 Espanyol-Betis,18,Luiz Henrique,Betis,0.01,,Off Target,51,Left Foot,,William Carvalho,Pass (Live),,
4142,ESP-La Liga,2223,2023-01-21 Espanyol-Betis,20,Luiz Henrique,Betis,0.02,,Off Target,14,Left Foot,,William Carvalho,Pass (Live),Sergio Canales,Pass (Live)
4143,ESP-La Liga,2223,2023-01-21 Espanyol-Betis,24,Aitor Ruibal,Betis,0.03,0.03,Saved,27,Left Foot,,William Carvalho,Pass (Live),Guido Rodríguez,Pass (Live)
4144,ESP-La Liga,2223,2023-01-21 Espanyol-Betis,25,Martin Braithwaite,Espanyol,0.44,0.75,Saved,5,Right Foot,,Joselu,Pass (Live),Sergi Darder,Pass (Dead)
4145,ESP-La Liga,2223,2023-01-21 Espanyol-Betis,28,Sergio Canales,Betis,0.05,,Blocked,29,Left Foot,Free kick,Borja Iglesias,Fouled,William Carvalho,Pass (Live)
4146,ESP-La Liga,2223,2023-01-21 Espanyol-Betis,42,Borja Iglesias,Betis,0.23,,Blocked,6,Head,Deflected,Aitor Ruibal,Pass (Live),Luiz Henrique,Pass (Live)
4147,ESP-La Liga,2223,2023-01-21 Espanyol-Betis,44,Martin Braithwaite,Espanyol,0.66,0.7,Goal,4,Right Foot,,Sergi Darder,Pass (Live),Joselu,Pass (Live)
4148,ESP-La Liga,2223,2023-01-21 Espanyol-Betis,48,Brian Oliván,Espanyol,0.07,,Off Target,23,Left Foot,,Javi Puado,Pass (Live),Martin Braithwaite,Pass (Live)
4149,ESP-La Liga,2223,2023-01-21 Espanyol-Betis,57,Sergio Canales,Betis,0.17,0.31,Saved,22,Left Foot,Free kick,Borja Iglesias,Fouled,Sergio Canales,Pass (Live)
4150,ESP-La Liga,2223,2023-01-21 Espanyol-Betis,65,Javi Puado,Espanyol,0.85,,Off Target,4,Right Foot,,Óscar Gil,Pass (Live),Sergi Darder,Pass (Live)
4151,ESP-La Liga,2223,2023-01-21 Espanyol-Betis,67,Aitor Ruibal,Betis,0.06,,Blocked,13,Right Foot,Volley,Sergio Canales,Pass (Dead),Luiz Henrique,Fouled
4152,ESP-La Liga,2223,2023-01-21 Espanyol-Betis,68,Sergio Canales,Betis,0.04,,Blocked,32,Left Foot,Free kick,Andrés Guardado,Fouled,Aitor Ruibal,Shot
4153,ESP-La Liga,2223,2023-01-21 Espanyol-Betis,69,Luiz Henrique,Betis,0.03,,Off Target,25,Left Foot,,Borja Iglesias,Pass (Live),Aitor Ruibal,Pass (Live)
4154,ESP-La Liga,2223,2023-01-21 Espanyol-Betis,71,Javi Puado,Espanyol,0.05,,Off Target,11,Head,,Sergi Darder,Pass (Live),,
4155,ESP-La Liga,2223,2023-01-21 Espanyol-Betis,77,Sergio Canales,Betis,0.11,,Blocked,14,Left Foot,,Rodri,Pass (Live),Abner,Pass (Live)
