MATCH_ID,PERIOD_ID,TIME_SECONDS,NEW_TIME_SECONDS,ORIGINAL_EVENT_ID,TEAM_WS_ID,PLAYER_WS_ID_ON,PLAYER_WS_ID_OFF
1729199,2,5239.0,5419.0,2577418835,161,377271.0,403693.0
1729200,2,4002.0,4182.0,2579021539,170,322774.0,134332.0
1729200,2,4005.0,4185.0,2579021341,170,29463.0,243254.0
1729200,2,4006.0,4186.0,2579021835,170,396976.0,135724.0
1729200,2,4237.0,4417.0,2579027697,189,368512.0,407260.0
1729200,2,4664.0,4844.0,2579039979,189,329554.0,402367.0
1729200,2,4696.0,4876.0,2579040547,189,401168.0,101856.0
1729200,2,4715.0,4895.0,2579041021,189,318744.0,296240.0
1729200,2,5136.0,5316.0,2579054949,170,403649.0,145996.0
1729200,2,5138.0,5318.0,2579055109,170,140088.0,108186.0
1729200,2,5295.0,5475.0,2579059733,189,321085.0,318744.0
1729201,1,1229.0,1229.0,2599362451,95,141510.0,141209.0
1729201,2,3701.0,4001.0,2599443463,95,362145.0,399955.0
